EST_ST,REGION,EEDUC,RECVDVACC,NUMDOSES,BRAND,GETVACRV
1,2,7,1,3,2,-88
1,2,7,1,3,2,-88
1,2,5,2,-88,-88,4
1,2,6,1,3,1,-88
1,2,7,1,3,2,-88
1,2,3,1,3,1,-88
1,2,3,1,2,2,-88
1,2,4,1,2,2,-88
1,2,4,2,-88,-88,5
1,2,7,1,2,2,-88
1,2,6,1,3,1,-88
2,4,4,1,3,1,-88
2,4,4,2,-88,-88,5
6,4,3,1,3,1,-88
2,4,4,1,3,1,-88
2,4,6,1,2,1,-88
2,4,7,2,-88,-88,5
4,4,4,1,2,1,-88
16,4,6,2,-88,-88,2
4,4,7,1,3,1,-88
4,4,7,1,3,2,-88
4,4,6,1,3,1,-88
5,2,6,1,3,1,-88
5,2,5,2,-88,-88,4
5,2,7,1,2,1,-88
5,2,4,1,2,1,-88
5,2,6,1,3,2,-88
5,2,4,1,3,2,-88
37,2,3,2,-88,-88,2
20,3,6,1,3,1,-88
6,4,6,1,2,2,-88
6,4,4,1,3,2,-88
6,4,7,1,3,1,-88
6,4,7,1,3,2,-88
6,4,7,1,3,1,-88
6,4,7,1,3,1,-88
8,4,5,1,3,1,-88
8,4,4,1,2,2,-88
8,4,5,1,3,1,-88
8,4,6,1,2,2,-88
8,4,4,1,2,2,-88
8,4,6,1,3,1,-88
8,4,7,1,3,2,-88
8,4,3,1,2,1,-88
8,4,5,1,3,2,-88
8,4,7,1,3,3,-88
8,4,7,1,3,1,-88
8,4,6,1,3,1,-88
8,4,6,1,3,2,-88
8,4,5,1,3,1,-88
8,4,6,1,1,3,-88
48,2,7,1,3,1,-88
8,4,7,1,3,2,-88
8,4,7,1,3,1,-88
8,4,5,1,2,3,-88
8,4,3,1,3,1,-88
8,4,2,1,3,3,-88
9,1,7,1,3,1,-88
9,1,6,1,2,1,-88
9,1,3,1,3,2,-88
9,1,4,1,1,3,-88
9,1,5,1,2,3,-88
13,2,7,1,3,1,-88
9,1,7,1,3,1,-88
9,1,6,1,3,2,-88
9,1,7,1,2,3,-88
9,1,7,1,3,1,-88
9,1,6,1,3,1,-88
9,1,6,1,2,1,-88
44,1,4,1,2,2,-88
10,2,6,1,3,1,-88
10,2,6,-99,-88,-88,-99
10,2,7,1,3,1,-88
10,2,3,1,3,1,-88
10,2,6,1,2,2,-88
12,2,5,1,3,2,-88
12,2,6,1,2,2,-88
48,2,3,1,1,3,-88
12,2,6,1,1,3,-88
37,2,5,1,3,1,-88
12,2,6,2,-88,-88,5
12,2,3,1,2,1,-88
12,2,7,1,2,1,-88
12,2,5,1,2,2,-88
12,2,3,1,3,1,-88
12,2,7,1,2,2,-88
51,2,7,1,3,2,-88
12,2,6,1,3,1,-88
13,2,6,1,3,1,-88
37,2,7,1,3,1,-88
13,2,6,1,3,1,-88
22,2,7,1,3,2,-88
13,2,5,1,3,2,-88
13,2,6,2,-88,-88,5
13,2,5,2,-88,-88,5
13,2,6,1,1,3,-88
15,4,7,1,3,1,-88
15,4,7,1,2,2,-88
15,4,6,-99,-88,-88,-99
15,4,3,2,-88,-88,5
15,4,6,1,3,1,-88
15,4,1,2,-88,-88,5
15,4,4,1,2,1,-88
15,4,6,1,3,1,-88
16,4,6,2,-88,-88,3
16,4,4,1,2,1,-88
16,4,6,1,2,2,-88
16,4,4,1,3,1,-88
16,4,6,1,1,3,-88
16,4,7,1,3,2,-88
16,4,3,1,3,2,-88
16,4,6,1,2,1,-88
16,4,7,1,3,2,-88
16,4,6,2,-88,-88,4
16,4,5,1,3,2,-88
17,3,7,1,3,2,-88
17,3,6,2,-88,-88,5
17,3,7,1,3,1,-88
17,3,7,1,3,1,-88
17,3,4,2,-88,-88,4
18,3,6,1,3,1,-88
18,3,5,2,-88,-88,4
18,3,5,2,-88,-88,3
18,3,6,2,-88,-88,5
18,3,4,1,3,2,-88
18,3,2,2,-88,-88,5
18,3,3,1,3,2,-88
45,2,4,1,2,1,-88
18,3,4,1,2,1,-88
18,3,4,1,2,1,-88
